Date,Open,High,Low,Close,Adj Close,Volume
2017-11-20,897.690796,915.670349,896.502075,912.203247,892.678589,4260195
2017-11-21,918.097351,930.826721,916.809570,923.793335,904.020630,6037454
2017-11-22,928.647339,929.836060,914.778809,922.010254,902.275818,5103410
2017-11-23,922.257935,940.980469,917.948792,938.107666,918.028625,7398598
2017-11-24,941.079529,950.490295,938.503906,942.169189,922.003174,6455055
2017-11-27,938.355347,948.509094,935.135864,942.416809,922.245483,4724436
2017-11-28,940.930908,942.416809,929.291260,934.491943,914.490295,4685893
2017-11-29,933.006042,941.079529,932.164001,937.117065,917.059204,3709698
2017-11-30,932.609802,932.609802,910.865906,912.896667,893.357239,9524326
2017-12-01,915.769409,922.505554,899.176697,901.554138,882.257568,5129555
2017-12-04,904.922241,905.219421,888.923889,893.133972,874.017517,4662629
2017-12-05,892.589172,912.104187,887.041748,905.120361,885.747314,8448505
2017-12-06,901.455078,921.564514,900.266357,917.948792,898.301208,11112030
2017-12-07,921.316833,927.210938,914.333008,922.802734,903.051208,5581979
2017-12-08,925.081177,928.152039,910.420105,912.351807,892.823975,5641459
2017-12-11,913.788208,917.304871,904.971802,907.547363,888.122437,4980620
2017-12-12,907.349243,920.276672,899.473877,907.002502,887.589233,7283405
2017-12-13,908.290344,916.264709,902.148560,906.061462,886.668335,4221739
2017-12-14,910.370605,916.215210,900.216858,912.847107,893.308716,5068725
2017-12-15,922.257935,924.189636,909.082825,911.113525,891.612244,11264479
2017-12-18,903.386780,923.892395,854.549744,912.351807,892.823975,8575323
2017-12-19,914.927429,918.295471,911.361206,917.255310,897.622620,4103513
2017-12-20,917.205811,918.691711,908.389404,909.528564,890.061218,4819670
2017-12-21,909.825745,915.274109,901.455078,904.377380,885.020325,4186472
2017-12-22,906.061462,913.738647,900.761658,911.757446,892.242371,4918863
2017-12-26,916.165649,930.083740,909.528564,921.069214,901.354858,5351708
2017-12-27,924.239136,928.696899,910.370605,915.075989,895.489929,4393640
2017-12-28,916.561890,925.625977,910.469666,915.521790,895.926147,7158735
2017-12-29,917.800171,923.545715,909.875305,912.401367,892.872559,5117894
2018-01-01,914.035828,914.035828,898.978577,901.207458,881.918274,4362651
2018-01-02,904.426941,910.915405,897.888916,902.594299,883.275330,4383980
2018-01-03,916.314270,917.304871,904.476440,906.210022,886.813660,6233847
2018-01-04,909.528564,913.144287,907.101563,911.658386,892.145508,4157621
2018-01-05,913.144287,918.196411,911.608887,914.580688,895.005127,3434151
2018-01-08,917.403931,922.257935,914.828369,919.830933,900.143066,4073668
2018-01-09,919.434692,935.036804,915.323669,932.114502,912.163757,6596942
2018-01-10,934.145264,938.503906,926.715637,933.501343,913.520874,5412323
2018-01-11,932.956482,933.798523,926.220337,928.944519,909.061646,3622391
2018-01-12,934.145264,943.853210,929.439819,940.088867,919.967407,6955338
2018-01-15,941.079529,949.499695,936.324585,940.237488,920.112854,5132305
2018-01-16,938.801086,938.801086,911.361206,914.283508,894.714417,4995805
2018-01-17,917.304871,920.276672,898.483276,915.818970,896.216919,6093651
2018-01-18,920.276672,920.871033,906.507202,911.064026,891.563721,4329708
2018-01-19,914.333008,925.625977,913.441467,922.555115,902.808899,4602784
2018-01-22,939.098267,965.151306,931.173401,962.377625,941.779114,21090881
2018-01-23,965.844727,981.644958,965.844727,974.017273,953.169617,10396119
2018-01-24,972.531372,972.531372,953.610718,957.276001,936.786621,6594595
2018-01-25,958.811401,962.872925,947.171753,956.830200,936.350342,6308657
2018-01-29,957.127380,968.123169,950.292175,955.443359,934.993225,4567493
2018-01-30,956.731140,956.731140,940.088867,941.475769,921.324646,4237933
2018-01-31,941.079529,955.443359,932.708862,952.273376,931.891052,5792601
2018-02-01,954.205078,963.467285,927.805359,934.987244,914.974976,7626196
2018-02-02,926.220337,935.086304,892.539612,895.858154,876.683411,13367616
2018-02-05,885.605347,903.931641,873.519897,893.678833,874.550720,8856689
2018-02-06,868.764954,889.567810,862.821289,883.723206,864.808228,11104841
2018-02-07,894.075073,896.898315,881.642883,886.001587,867.037842,7168146
2018-02-08,889.468750,902.098999,883.970825,896.056274,876.877258,6380648
2018-02-09,880.652283,893.530212,877.680481,889.419189,870.382202,5344463
2018-02-12,894.520813,909.578125,893.579773,906.903442,887.492310,5481260
2018-02-14,914.333008,933.649902,912.351807,924.883057,905.087036,10267369
2018-02-15,928.845459,936.869385,919.434692,926.864258,907.025879,6167365
2018-02-16,930.777161,933.749023,909.479065,912.648987,893.114868,4443395
2018-02-19,912.351807,923.248535,904.971802,918.295471,898.640442,4126685
2018-02-20,920.276672,920.821533,910.172485,912.450867,892.920959,3903573
2018-02-21,921.267334,923.743835,913.491028,920.623413,900.918579,5499873
2018-02-22,913.342407,922.257935,911.361206,915.670349,896.071533,5167371
2018-02-23,916.710510,929.192200,914.085388,925.477417,905.668640,4896820
2018-02-26,930.182800,936.027405,927.805359,929.885620,909.982605,3893033
2018-02-27,930.182800,946.825073,929.538879,941.574829,921.421570,6470858
2018-02-28,937.067566,948.112854,934.343384,945.586792,925.347595,26144187
2018-03-01,940.831848,950.886536,937.067566,939.494507,919.385742,4133465
2018-03-05,934.145264,941.228088,912.946167,915.422729,895.829224,5688306
